closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron
0.13513513513513511,0.2457399306031044,0.02040812754554636,0.2,0.02040812754554636,7,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N1
0.18518518518518523,0.31082417133322354,0.0401424018230794,0.26666666666666666,0.04014240182307939,8,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N2
0.7142857142857142,0.831912651138983,0.5049086272471258,0.8,0.5049086272471257,16,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N3
0.29411764705882354,0.3908272309118851,0.16105093105518423,0.4,0.16105093105518425,10,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N4
1.0,0.9838100683220544,1.0,1.0,1.0,19,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N5
0.29411764705882354,0.4837640991249567,0.08802624002128326,0.4,0.08802624002128329,10,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N6
0.5555555555555554,0.7540376339673872,0.2506559130186702,0.6666666666666666,0.25065591301867013,14,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N7
1.0,1.0,0.9890450711571548,1.0,0.9890450711571548,19,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N8
0.6321839080459768,0.774432420878026,0.3842118804706823,0.7333333333333333,0.3842118804706822,15,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N9
0.7142857142857142,0.8925779494523864,0.3725848486280524,0.8,0.37258484862805236,16,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N10
0.08771929824561399,0.16908783230731023,0.01630724908592242,0.13333333333333333,0.016307249085922425,6,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N11
0.0,0.0,0.0,0.0,0.0,4,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N12
0.4166666666666666,0.5836563257427697,0.1985189230249536,0.5333333333333333,0.19851892302495358,12,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N13
0.23809523809523794,0.3450829059216371,0.09609322628692848,0.3333333333333333,0.09609322628692846,9,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N14
0.23809523809523794,0.39944343214079125,0.05932009080391571,0.3333333333333333,0.059320090803915704,9,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N15
0.3535353535353533,0.5766471428846567,0.09070240014282191,0.4666666666666667,0.09070240014282192,11,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N16
0.13513513513513511,0.2460933762572041,0.006064679412119908,0.2,0.0060646794121199075,7,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N17
0.4166666666666666,0.5950006679522719,0.1844047600294745,0.5333333333333333,0.18440476002947456,12,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N18
0.3535353535353533,0.5321153076189945,0.14734283028874182,0.4666666666666667,0.1473428302887418,11,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N19
1.0,0.9992383577844632,0.9405853947117399,1.0,0.9405853947117396,19,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N20
0.3535353535353533,0.5290800540216584,0.1255099844051101,0.4666666666666667,0.1255099844051101,11,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N21
0.18518518518518523,0.323571888881354,0.04915453293217186,0.26666666666666666,0.049154532932171854,8,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N22
0.3535353535353533,0.5061130006056663,0.14557155884139245,0.4666666666666667,0.14557155884139247,11,1.4782608695652173,0.6974776812305418,-0.012108116710521477,1.0322718488789235,0.5217391304347826,N23
