closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron
0.8461538461538461,0.900808343280525,0.3272260545576377,0.9024390243902439,0.3272260545576377,16,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N1
0.564102564102564,0.209341239777082,0.0,0.5853658536585366,0.0,3,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N2
0.8148148148148147,0.8756381431860584,0.22951822634265726,0.8780487804878049,0.22951822634265717,15,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N3
1.0,1.0,1.0,1.0,1.0,20,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N4
0.5945945945945945,0.4164043290074749,0.0,0.6504065040650406,0.0,6,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N5
0.8148148148148147,0.8995608423354843,0.14206544715315567,0.8780487804878049,0.1420654471531557,15,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N6
0.7096774193548386,0.7196337944019098,0.03489565293392162,0.7804878048780488,0.03489565293392163,11,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N7
0.8148148148148147,0.8662205566374552,0.2632032137666264,0.8780487804878049,0.26320321376662636,15,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N8
0.7333333333333333,0.7610861284399986,0.061601509771106545,0.8048780487804879,0.06160150977110653,12,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N9
0.6285714285714286,0.5202733806592611,0.012356988787856227,0.6991869918699187,0.01235698878785623,8,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N10
0.8148148148148147,0.7518160696391053,0.9315024445300472,0.8780487804878049,0.9315024445300472,15,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N11
0.7586206896551723,0.7868919441817913,0.2519867538950088,0.8455284552845528,0.25198675389500874,14,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N12
0.7586206896551723,0.8132058252523385,0.0799654280544217,0.8292682926829268,0.07996542805442168,13,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N13
0.7586206896551723,0.8258695427979856,0.13840971208388766,0.8455284552845528,0.1384097120838877,14,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N14
0.55,0.21138474766886772,0.0,0.5772357723577236,0.0,3,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N15
0.6666666666666665,0.6622494161164412,0.012356988787856227,0.7479674796747968,0.01235698878785623,10,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N16
0.5945945945945945,0.3258244434842414,0.009305507449045767,0.6341463414634146,0.009305507449045767,5,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N17
0.4680851063829787,0.05990081914170103,0.0,0.48780487804878064,0.0,1,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N18
0.611111111111111,0.4031514796869305,0.0059821119315294205,0.6585365853658537,0.005982111931529422,6,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N19
0.0,0.0,0.0,0.0,0.0,0,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N20
0.7333333333333333,0.7404429461374129,0.08253890153145951,0.8048780487804879,0.08253890153145949,12,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N21
0.7096774193548386,0.6499310607655677,0.09608389631437596,0.7804878048780488,0.09608389631437594,11,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N22
0.564102564102564,0.21134660583896572,0.0,0.5853658536585366,0.0,3,0.7662337662337663,0.7168321698642065,0.010258367277527047,0.986668426251187,0.4505928853754941,N23
