closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron,method,epoch,in/out,chain
0.6296296296296297,0.2746328511447042,0.0,0.6428571428571429,0.0,3,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N1,Correlation,Vis-NoStim,In,0
0.9444444444444444,0.8707121725707879,1.0,0.9642857142857144,1.0,12,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N2,Correlation,Vis-NoStim,In,0
0.9444444444444444,0.9749259877558534,0.25952510422330977,0.9642857142857144,0.25952510422330977,12,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N3,Correlation,Vis-NoStim,In,0
0.8095238095238095,0.8036560028029409,0.040601776327714334,0.8571428571428571,0.04060177632771436,9,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N4,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N5,Correlation,Vis-NoStim,In,0
0.8947368421052632,0.9498569606779248,0.07681711074859524,0.9285714285714286,0.07681711074859526,11,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N6,Correlation,Vis-NoStim,In,0
0.8947368421052632,0.9498569606779248,0.07681711074859524,0.9285714285714286,0.07681711074859526,11,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N7,Correlation,Vis-NoStim,In,0
0.8095238095238095,0.851765628576435,0.09407286568787382,0.880952380952381,0.09407286568787383,10,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N8,Correlation,Vis-NoStim,In,0
0.7727272727272727,0.7438030527535029,0.010150444081928582,0.8214285714285714,0.01015044408192859,8,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N9,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N10,Correlation,Vis-NoStim,In,0
0.8500000000000001,0.8578877461079347,0.10721406561537064,0.8928571428571429,0.10721406561537067,10,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N11,Correlation,Vis-NoStim,In,0
1.0,1.0,0.5488127605582743,1.0,0.5488127605582744,13,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N12,Correlation,Vis-NoStim,In,0
0.8947368421052632,0.8884198645979043,0.26708355990574584,0.9285714285714286,0.2670835599057459,11,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N13,Correlation,Vis-NoStim,In,0
0.8947368421052632,0.9498569606779248,0.07681711074859524,0.9285714285714286,0.07681711074859526,11,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N14,Correlation,Vis-NoStim,In,0
0.6296296296296297,0.3614193567617131,0.0,0.6666666666666667,0.0,4,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N15,Correlation,Vis-NoStim,In,0
0.6799999999999999,0.5653344676963237,0.0,0.7380952380952381,0.0,6,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N16,Correlation,Vis-NoStim,In,0
0.6071428571428571,0.18791088756284985,0.0,0.6071428571428571,0.0,2,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N17,Correlation,Vis-NoStim,In,0
0.53125,0.08746288943447647,0.0,0.5357142857142857,0.0,1,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N18,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N19,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N20,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N21,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N22,Correlation,Vis-NoStim,In,0
0.0,0.0,0.0,0.0,0.0,0,0.18333333333333326,0.5481448503187633,0.023159234298824383,1.0086795425370525,0.2648221343873518,N23,Correlation,Vis-NoStim,In,0
0.6296296296296297,0.2746328511447042,0.0,0.6428571428571429,0.0,3,0.18333333333333326,0.5481448503187633,0.02721479887115741,1.0118085540903254,0.2648221343873518,N1,Correlation,Vis-NoStim,In,1
0.9444444444444444,0.8707121725707879,1.0,0.9642857142857144,1.0,12,0.18333333333333326,0.5481448503187633,0.02721479887115741,1.0118085540903254,0.2648221343873518,N2,Correlation,Vis-NoStim,In,1
0.9444444444444444,0.9749259877558534,0.25952510422330977,0.9642857142857144,0.25952510422330977,12,0.18333333333333326,0.5481448503187633,0.02721479887115741,1.0118085540903254,0.2648221343873518,N3,Correlation,Vis-NoStim,In,1
