0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,0.0,17.5,22.5,0.0,0.0,0.0,0.0,6.25,0.0,0.0,22.75,3.0,0.0,33.0,0.0,0.0,36.0,33.75,0.0,0.0,22.25,0.0
0.0,0.0,0.0,22.5,0.0,3.5,70.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.5,120.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.75,0.0,33.75,0.0,0.0,0.0,0.0
0.0,0.0,17.5,0.0,0.0,3.5,20.25,0.0,0.0,39.5,0.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,33.75,44.5,0.0,22.25,0.0
0.0,0.0,17.5,72.5,0.0,3.5,20.25,0.0,0.0,0.0,0.0,22.75,3.0,39.25,0.0,0.0,0.0,0.0,83.75,0.0,39.75,0.0,0.0
0.0,0.0,0.0,22.5,0.0,103.5,20.25,0.0,6.25,0.0,0.0,72.75,3.0,0.0,0.0,37.25,0.0,0.0,33.75,44.5,39.75,22.25,0.0
0.0,0.0,0.0,22.5,0.0,53.5,0.0,0.0,6.25,0.0,48.25,72.75,103.0,0.0,0.0,37.25,0.0,0.0,33.75,0.0,0.0,22.25,0.0
0.0,0.0,17.5,22.5,0.0,53.5,0.0,48.75,0.0,0.0,48.25,72.75,0.0,0.0,0.0,37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.5,22.5,47.75,53.5,0.0,0.0,0.0,0.0,98.25,172.75,3.0,39.25,0.0,0.0,0.0,0.0,33.75,0.0,39.75,22.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5
0.0,0.0,0.0,72.5,0.0,3.5,0.0,0.0,0.0,0.0,148.25,0.0,0.0,0.0,0.0,0.0,0.0,36.0,33.75,0.0,0.0,22.25,0.0
68.5,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,39.75,22.25,0.0
0.0,0.0,0.0,0.0,0.0,103.5,0.0,0.0,56.25,0.0,48.25,0.0,0.0,39.25,83.0,87.25,37.75,0.0,0.0,0.0,39.75,0.0,0.0
68.5,46.25,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.25,0.0,0.0,33.75,0.0,0.0,0.0,0.0
0.0,0.0,0.0,72.5,0.0,3.5,20.25,0.0,0.0,39.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.0,0.0,0.0,0.0,103.5,70.25,0.0,6.25,0.0,0.0,22.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
