closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron
0.7931034482758621,0.8585144238294135,0.17389286595902248,0.85,0.17354085603112843,13,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N1
0.5348837209302326,0.11480045737482808,0.0,0.5333333333333334,0.0,1,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N2
0.5750000000000001,0.3202277878897091,0.0,0.5916666666666667,0.0,3,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N3
0.5897435897435898,0.395745440802318,0.0,0.6166666666666667,0.0,4,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N4
0.5348837209302326,0.11480045737482808,0.0,0.5333333333333334,0.0,1,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N5
0.8846153846153847,0.930917148326442,0.49034806220686256,0.925,0.4900129701686123,16,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N6
1.0,1.0,1.0,1.0,1.0,19,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N7
0.5111111111111112,0.18208285459015394,0.0,0.5333333333333334,0.0,2,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N8
0.696969696969697,0.655167062754433,0.10119970377684523,0.75,0.10127107652399481,9,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N9
0.5750000000000001,0.2594605076305438,0.002073562083436189,0.5916666666666667,0.0020752269779507147,3,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N10
0.696969696969697,0.6578187257468173,0.05283633670698594,0.75,0.05447470817120623,9,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N11
0.6764705882352942,0.6068077970922247,0.054327326586028145,0.725,0.05499351491569391,8,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N12
0.7187500000000001,0.6532977275208057,0.20642804245865215,0.775,0.20679636835278864,10,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N13
0.5897435897435898,0.36387439157911455,0.002073562083436189,0.6166666666666667,0.0020752269779507147,4,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N14
0.5750000000000001,0.29133155685374706,0.0,0.5916666666666667,0.0,3,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N15
0.605263157894737,0.47095864949533334,0.002073562083436189,0.6416666666666667,0.0020752269779507147,5,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N16
0.605263157894737,0.3718819086389172,0.0,0.625,0.0,4,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N17
0.5609756097560976,0.22167010327196662,0.0,0.5666666666666667,0.0,2,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N18
0.6216216216216216,0.4707440374762531,0.002073562083436189,0.65,0.0020752269779507147,5,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N19
0.0,0.0,0.0,0.0,0.0,0,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N20
0.5750000000000001,0.3202277878897091,0.0,0.5916666666666667,0.0,3,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N21
0.6764705882352942,0.6325651979574329,0.11479634658109111,0.725,0.11450064850843061,8,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N22
0.4693877551020408,0.1476169464290339,0.0,0.5000000000000001,0.0,2,0.8831168831168831,0.6630003101398982,0.012860756209871038,0.961700767263427,0.2648221343873518,N23
