closeness_centrality,eigenvector_centrality,betweenness_centrality,harmonic_centrality,load_centrality,degrees,average_shortest_path,average_clustering,omega,sigma,density,neuron
0.5769230769230769,0.3845063776883329,0.0,0.6333333333333333,0.0,4,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N1
0.625,0.5659916059167497,0.0,0.7,0.0,6,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N2
0.8333333333333333,0.9204808527944246,0.2505643340857788,0.9,0.2505643340857789,12,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N3
0.6818181818181818,0.7306610887186334,0.0,0.7666666666666667,0.0,8,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N4
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N5
0.9375,0.9657125287883135,0.765237020316027,0.9666666666666667,0.7652370203160271,14,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N6
1.0,1.0,1.0,1.0,1.0,15,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N7
0.6818181818181818,0.7306610887186334,0.0,0.7666666666666667,0.0,8,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N8
0.8823529411764706,0.9464858970102467,0.4537246049661399,0.9333333333333333,0.45372460496614003,13,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N9
0.5769230769230769,0.37362358112012695,0.0,0.6333333333333333,0.0,4,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N10
0.75,0.8320012136474976,0.08803611738148984,0.8333333333333334,0.08803611738148985,10,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N11
0.7142857142857143,0.797713742435811,0.006772009029345372,0.8,0.006772009029345373,9,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N12
0.8333333333333333,0.9192289998173809,0.26410835214446954,0.9,0.26410835214446954,12,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N13
0.75,0.849655045118301,0.04288939051918736,0.8333333333333334,0.04288939051918738,10,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N14
0.5769230769230769,0.3872604844209521,0.0,0.6333333333333333,0.0,4,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N15
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N16
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N17
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N18
0.5357142857142857,0.19861896152272027,0.0,0.5666666666666667,0.0,2,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N19
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N20
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N21
0.5555555555555556,0.2942535024388734,0.0,0.6,0.0,3,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N22
0.0,0.0,0.0,0.0,0.0,0,0.18020833333333333,0.5977643129817043,-2.220446049250313e-16,1.0000000000000002,0.2648221343873518,N23
